STT,Time,Ngày,Tháng,Năm,Ngày-tháng-năm,PM2.5,Nhiệt độ,Độ ẩm
1,01-10-2022 0:00,01,10,2022,01-10-2022,92.86,32.96,98.99
2,01-10-2022 1:00,01,10,2022,01-10-2022,75.58,32.99,98.99
3,01-10-2022 2:00,01,10,2022,01-10-2022,56.73,32.88,98.99
4,01-10-2022 3:00,01,10,2022,01-10-2022,64.72,32.61,98.99
5,01-10-2022 4:00,01,10,2022,01-10-2022,49.3,32.46,98.99
6,01-10-2022 5:00,01,10,2022,01-10-2022,57.22,32.45,98.99
7,01-10-2022 6:00,01,10,2022,01-10-2022,144.81,32.35,98.99
8,01-10-2022 7:00,01,10,2022,01-10-2022,101.35,33.03,98.99
9,01-10-2022 8:00,01,10,2022,01-10-2022,42,34.41,98.99
10,01-10-2022 9:00,01,10,2022,01-10-2022,22.14,36.82,98.99
11,01-10-2022 10:00,01,10,2022,01-10-2022,13.03,37.96,98.99
12,01-10-2022 11:00,01,10,2022,01-10-2022,12.67,40.73,96.92
13,01-10-2022 12:00,01,10,2022,01-10-2022,11.86,39.27,97.84
14,01-10-2022 13:00,01,10,2022,01-10-2022,9.98,38.65,98.85
15,01-10-2022 14:00,01,10,2022,01-10-2022,5.78,39.94,97.33
16,01-10-2022 15:00,01,10,2022,01-10-2022,6.41,39.62,97.86
17,01-10-2022 16:00,01,10,2022,01-10-2022,7.89,38.73,98.36
18,01-10-2022 17:00,01,10,2022,01-10-2022,19.8,34.54,98.99
19,01-10-2022 18:00,01,10,2022,01-10-2022,43.79,32.58,98.99
20,01-10-2022 19:00,01,10,2022,01-10-2022,99.97,32.02,98.99
21,01-10-2022 20:00,01,10,2022,01-10-2022,22.87,30.99,98.99
22,01-10-2022 21:00,01,10,2022,01-10-2022,80.22,31.35,98.99
23,01-10-2022 22:00,01,10,2022,01-10-2022,185.89,31.42,98.99
24,01-10-2022 23:00,01,10,2022,01-10-2022,217.74,31.63,98.99
25,02-10-2022 0:00,02,10,2022,02-10-2022,135.4,31.84,98.99
26,02-10-2022 1:00,02,10,2022,02-10-2022,85.86,31.57,98.99
27,02-10-2022 2:00,02,10,2022,02-10-2022,134.39,31.45,98.99
28,02-10-2022 3:00,02,10,2022,02-10-2022,267.9,31.62,98.99
29,02-10-2022 4:00,02,10,2022,02-10-2022,107.46,31.61,98.99
30,02-10-2022 5:00,02,10,2022,02-10-2022,91.34,31.54,98.99
31,02-10-2022 6:00,02,10,2022,02-10-2022,99.44,31.5,98.99
32,02-10-2022 7:00,02,10,2022,02-10-2022,111.15,32.21,98.99
33,02-10-2022 8:00,02,10,2022,02-10-2022,104.88,33.31,98.99
34,02-10-2022 9:00,02,10,2022,02-10-2022,81.58,34.22,98.99
35,02-10-2022 10:00,02,10,2022,02-10-2022,21.59,35.77,98.99
36,02-10-2022 11:00,02,10,2022,02-10-2022,21.57,35.89,98.99
37,02-10-2022 12:00,02,10,2022,02-10-2022,21.1,35,98.99
38,02-10-2022 13:00,02,10,2022,02-10-2022,28.61,32.91,98.99
39,02-10-2022 14:00,02,10,2022,02-10-2022,33.23,33.33,98.99
40,02-10-2022 15:00,02,10,2022,02-10-2022,14.06,36.27,98.99
41,02-10-2022 16:00,02,10,2022,02-10-2022,13.05,34.82,98.99
42,02-10-2022 17:00,02,10,2022,02-10-2022,18.46,33.78,98.99
43,02-10-2022 18:00,02,10,2022,02-10-2022,36.74,33.47,98.99
44,02-10-2022 19:00,02,10,2022,02-10-2022,47.19,32.86,98.99
45,02-10-2022 20:00,02,10,2022,02-10-2022,17.93,32.64,98.99
46,02-10-2022 21:00,02,10,2022,02-10-2022,37.98,32.39,98.99
47,02-10-2022 22:00,02,10,2022,02-10-2022,40.81,32.28,98.99
48,02-10-2022 23:00,02,10,2022,02-10-2022,24.9,32.53,98.99
49,03-10-2022 0:00,03,10,2022,03-10-2022,35.84,32.34,98.99
50,03-10-2022 1:00,03,10,2022,03-10-2022,57.04,32.21,98.99
51,03-10-2022 2:00,03,10,2022,03-10-2022,94.08,32,98.99
52,03-10-2022 3:00,03,10,2022,03-10-2022,312.83,31.96,98.99
53,03-10-2022 4:00,03,10,2022,03-10-2022,350.34,32.06,98.99
54,03-10-2022 5:00,03,10,2022,03-10-2022,404.94,32.11,98.99
55,03-10-2022 6:00,03,10,2022,03-10-2022,322.87,32,98.99
56,03-10-2022 7:00,03,10,2022,03-10-2022,189,32.69,98.99
57,03-10-2022 8:00,03,10,2022,03-10-2022,35.38,34.62,98.99
58,03-10-2022 9:00,03,10,2022,03-10-2022,21.75,36.89,98.99
59,03-10-2022 10:00,03,10,2022,03-10-2022,19.31,39.59,98.53
60,03-10-2022 11:00,03,10,2022,03-10-2022,16.92,41.46,92.8
61,03-10-2022 12:00,03,10,2022,03-10-2022,15.49,40.75,94.39
62,03-10-2022 13:00,03,10,2022,03-10-2022,15.25,40.42,95.37
63,03-10-2022 14:00,03,10,2022,03-10-2022,7.39,38.44,96.44
64,03-10-2022 15:00,03,10,2022,03-10-2022,19.75,35.88,98.99
65,03-10-2022 16:00,03,10,2022,03-10-2022,22.01,36.11,98.99
66,03-10-2022 17:00,03,10,2022,03-10-2022,18.18,35.66,98.99
67,03-10-2022 18:00,03,10,2022,03-10-2022,14.29,35.2,98.99
68,03-10-2022 19:00,03,10,2022,03-10-2022,29.53,34.36,98.99
69,03-10-2022 20:00,03,10,2022,03-10-2022,69.99,34.03,98.99
70,03-10-2022 21:00,03,10,2022,03-10-2022,42.96,33.75,98.99
71,03-10-2022 22:00,03,10,2022,03-10-2022,34.29,33.59,98.99
