datetime,Timestamp,PM2_5.ug.m3.,AQI.US.,AQI.CN.,PM10.ug.m3.,PM1.ug.m3.,Outdoor.AQI.US.,Outdoor.AQI.CN.,Temperature.C.,Temperature.F.,Humidity..RH.,CO2.ppm.
2024-06-27 15:45:00,1719503823.0,2.0,7.9,2.9,2.1,1.0,0.0,0.0,24.5,76.1,76.0,799.4
2024-06-27 16:00:00,1719504343.0,2.0,7.9,2.9,2.0,1.0,0.0,0.0,24.7,76.4,75.0,823.1
2024-06-27 16:15:00,1719505481.3,2.0,7.8,2.9,2.0,1.0,0.0,0.0,24.7,76.5,72.8,835.1
2024-06-27 16:30:00,1719506248.0,1.7,6.9,2.4,1.8,0.7,0.0,0.0,24.8,76.7,72.0,850.2
2024-06-27 16:45:00,1719506855.3,1.6,6.4,2.2,1.6,0.6,0.0,0.0,24.8,76.7,71.0,858.2
2024-06-27 17:00:00,1719507971.0,2.0,8.0,3.0,2.2,1.0,0.0,0.0,24.3,75.8,70.2,871.4
2024-06-27 17:15:00,1719508871.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,24.2,75.5,71.6,860.2
2024-06-27 17:30:00,1719509771.0,2.0,8.0,3.0,2.0,0.6,0.0,0.0,24.1,75.4,72.2,829.6
2024-06-27 17:45:00,1719510671.0,2.0,8.0,3.0,2.0,0.0,0.0,0.0,24.0,75.1,73.0,773.2
2024-06-27 18:00:00,1719511571.0,1.8,7.2,2.6,2.0,0.8,0.0,0.0,24.5,76.0,73.0,770.4
2024-06-27 18:15:00,1719512471.0,2.0,8.0,3.0,2.2,1.0,0.0,0.0,25.0,77.1,72.4,776.8
2024-06-27 18:30:00,1719513371.0,2.0,8.0,3.0,2.2,1.0,0.0,0.0,25.5,77.8,72.0,779.4
2024-06-27 18:45:00,1719514271.0,2.2,9.0,3.2,2.2,1.2,0.0,0.0,25.8,78.4,72.0,767.0
2024-06-27 19:00:00,1719515171.0,1.8,7.2,2.6,1.8,0.8,0.0,0.0,26.0,78.9,72.0,761.6
2024-06-27 19:15:00,1719516071.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,26.3,79.3,72.0,754.2
2024-06-27 19:30:00,1719516971.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,26.5,79.7,72.0,753.6
2024-06-27 19:45:00,1719517871.0,2.0,8.0,3.0,2.8,1.0,0.0,0.0,26.7,80.0,72.0,740.2
2024-06-27 20:00:00,1719518775.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,26.8,80.2,71.8,734.6
2024-06-27 20:15:00,1719519691.0,1.8,7.2,2.6,2.4,0.8,0.0,0.0,26.1,79.0,66.6,731.4
2024-06-27 20:30:00,1719520591.0,1.6,6.4,2.2,1.8,0.6,0.0,0.0,25.6,78.1,65.8,734.6
2024-06-27 20:45:00,1719521491.0,1.8,7.2,2.6,2.0,0.8,0.0,0.0,25.3,77.5,65.8,735.8
